学号        姓名    课程01    课程02    课程03    课程04    课程05    课程06    
1403880001  宋江    81        89        88        77        94        92        
1403880002  卢俊义  94        85        82        88        85        81        
1403880003  吴用    75        82        90        82        87        88        
1403880004  公孙胜  93        79        92        91        92        84        
1403880005  关胜    81        78        94        79        93        86        
1403880006  林冲    75        88        76        77        88        93        
1403880007  秦明    78        81        84        88        89        80        
1403880008  呼延灼  94        81        81        84        80        83        
1403880009  花荣    83        84        76        90        80        88        
1403880010  柴进    91        90        84        81        93        87        
1403880011  李应    79        79        90        76        77        90        
1403880012  朱仝    79        77        84        85        94        87        
1403880013  鲁智深  84        80        78        78        80        83        
1403880014  武松    88        84        82        94        80        75        
1403880015  董平    94        76        78        84        85        80        
1403880016  张清    85        78        75        89        89        82        
1403880017  杨志    84        90        75        79        75        75        
1403880018  徐宁    88        87        76        83        79        91        
1403880019  索超    80        86        92        89        83        82        
1403880020  戴宗    94        84        81        80        94        81        
1403880021  刘唐    88        91        88        90        90        88        
1403880022  李逵    88        81        93        80        78        76        
1403880023  史进    93        88        81        77        83        93        
1403880024  穆弘    93        77        76        85        92        92        
1403880025  雷横    82        83        76        89        85        91        
1403880026  李俊    89        80        91        94        76        84        
1403880027  阮小二  92        87        78        79        92        94        
1403880028  张横    76        75        88        88        84        89        
1403880029  阮小五  77        91        79        84        81        76        
1403880030  张顺    81        88        78        87        80        81        
1403880031  阮小七  79        91        78        94        89        75        
1403880032  杨雄    86        75        80        91        79        93        
1403880033  石秀    90        92        90        88        81        82        
1403880034  解珍    86        84        76        80        89        94        
1403880035  解宝    90        75        75        77        85        92        
1403880036  燕青    89        78        84        76        79        93        
1403880037  朱武    76        84        93        87        91        85        
1403880038  黄信    86        82        78        90        93        87        
1403880039  孙立    94        91        88        83        86        83        
1403880040  宣赞    77        87        79        84        88        84        
1403880041  郝思文  86        92        81        84        80        84        
1403880042  韩滔    77        93        81        93        80        90        
1403880043  彭玘    75        89        83        79        89        85        
1403880044  单廷珪  76        83        93        78        81        79        
1403880045  魏定国  88        80        80        76        91        77        
1403880046  萧让    84        94        87        82        86        87       







